CO-BRANCH;OFFICE;PRODUCT;GROUP;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
221 - PEKANBARU;451 - TANJUNG PINANG;Giro;CASA;5.278.733.716;9.114.023.209;9.064.609.953;8.682.524.464;7.033.255.264;6.581.557.621;5.939.842.107;4.944.577.026;5.269.205.112
221 - PEKANBARU;451 - TANJUNG PINANG;Tabungan;CASA;53.130.060.524;51.688.724.113;50.848.432.726;51.028.741.536;53.627.178.257;52.846.417.527;52.728.229.661;51.715.138.054;49.873.391.213
241 - BANDA ACEH;241 - BANDA ACEH;Deposito;TD;34.645.865.081;33.114.404.998;33.466.657.668;31.312.062.643;30.156.080.594;29.992.099.739;33.331.761.859;30.983.599.177;31.352.729.843
241 - BANDA ACEH;241 - BANDA ACEH;Giro;CASA;4.643.877.782;5.639.415.077;6.631.980.553;6.446.420.910;6.080.261.689;5.462.881.182;6.415.364.798;5.507.914.530;5.941.127.841
241 - BANDA ACEH;241 - BANDA ACEH;Tabungan;CASA;43.489.883.632;39.307.568.547;40.162.621.630;38.617.477.629;38.181.489.090;37.942.185.542;38.240.333.443;39.925.731.031;37.949.922.269
241 - BANDA ACEH;261 - LANGSA;Deposito;TD;9.685.012.823;10.720.036.875;10.730.050.036;10.415.084.191;10.055.000.000;10.000.000.000;9.318.000.000;11.368.000.000;12.338.000.000
241 - BANDA ACEH;261 - LANGSA;Giro;CASA;2.557.899.455;2.724.754.048;2.767.008.026;4.312.564.097;4.698.794.582;4.473.064.232;4.761.631.205;3.318.634.062;3.152.054.174
241 - BANDA ACEH;261 - LANGSA;Tabungan;CASA;30.279.256.279;29.964.915.293;29.073.548.826;29.027.237.046;28.685.766.855;28.981.815.533;30.289.541.863;30.149.337.718;29.973.853.025
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Deposito;TD;86.674.080.367;85.729.285.038;84.166.740.575;81.348.745.830;82.050.751.577;82.425.648.728;83.073.601.000;83.174.507.318;82.484.506.318
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Giro;CASA;5.443.984.990;3.477.237.624;3.521.185.270;4.138.012.510;3.671.050.961;4.006.548.332;3.792.383.703;3.953.741.113;5.029.647.285
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Tabungan;CASA;49.868.657.294;50.272.783.754;46.607.426.266;46.070.518.122;44.591.067.667;45.206.668.633;47.705.173.153;47.918.606.742;47.708.530.907
351 - LAMPUNG;351 - LAMPUNG;Deposito;TD;82.408.445.420;81.976.644.783;85.406.325.780;85.037.249.012;85.131.605.773;85.760.075.573;86.731.614.643;87.771.069.988;86.694.134.193
351 - LAMPUNG;351 - LAMPUNG;Giro;CASA;46.315.415.791;77.202.385.202;84.716.447.139;73.686.825.161;84.704.469.239;86.411.931.803;92.124.364.781;68.284.987.641;23.824.037.920
351 - LAMPUNG;351 - LAMPUNG;Tabungan;CASA;130.681.513.779;125.521.353.992;129.905.304.215;128.045.943.017;128.886.944.735;127.211.015.902;128.538.740.523;131.143.615.243;130.742.872.744
351 - LAMPUNG;352 - KCP BANDAR JAYA;Deposito;TD;28.007.457.686;24.976.337.081;23.136.842.723;23.071.141.397;19.048.625.465;17.884.398.126;16.549.884.730;23.194.110.637;23.049.412.080
